feature,importance
impact_severity,0.14244154773282725
proxy_risk,0.09715007115039026
pii_usage,0.08440302196986287
demographic_imbalance,0.06612791973707849
automation_level,0.0639947703370845
model_type,0.06140409502754208
documentation_quality,0.0574524500669435
sensitive_attributes,0.053684905551814516
human_review,0.047330650713525844
appeals_mechanism,0.04267310429893247
audit_conducted,0.04242789176036411
encryption,0.041306790230475086
anonymization,0.03866210977846664
historical_bias,0.03457063979437342
fairness_testing,0.034055567441656755
explanation_available,0.03342295721792044
third_party_data,0.03132318943049363
retention_policy,0.027568317760248224
